zcr,energy,energy_entropy,spectral_centroid,spectral_spread,spectral_entropy,spectral_flux,spectral_rolloff,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,chroma_12,chroma_std,Gender
0.152832345,0.010090438,2.993169791,0.261476186,0.218773318,1.046272307,0.008134109,0.241413043,-27.32471649,1.412349772,-0.533608622,-0.641729577,-0.270717147,-0.178377583,-0.126495422,0.017189217,-0.079775365,-0.167296091,-0.165637675,-0.176199798,-0.194542991,0.02301042,0.009923378,0.018289149,0.016155331,0.012970858,0.008826718,0.003632162,0.002702044,0.005964178,0.012504304,0.027445559,0.01516723,0.022225341,female
0.13653832,0.019759179,2.796104422,0.247077469,0.226232261,0.96714149,0.005966102,0.206264706,-26.03993828,1.450013659,-0.64176674,-0.519035368,-0.235403393,0.194271686,-0.223107113,-0.11253058,0.022452598,-0.143265436,-0.020841022,-0.235633995,-0.329530928,0.019463618,0.007890443,0.018230905,0.011784269,0.007271592,0.013089673,0.014930676,0.013995503,0.007785515,0.00868932,0.034309906,0.016056541,0.022056498,female
0.206036234,0.011383241,2.74425651,0.289223719,0.228434692,1.333043802,0.00656837,0.314344262,-27.528949,1.327656347,-0.405610701,-0.688290405,-0.106507168,-0.224597686,-0.211213173,0.046256106,-0.154185465,-0.236347236,-0.185680503,-0.232202461,-0.232693604,0.020629063,0.007577101,0.024165549,0.023346976,0.008126386,0.007693267,0.01270075,0.005272435,0.005584595,0.005908611,0.015540666,0.018176347,0.017604435,female
0.172000715,0.009974951,2.895792176,0.262439648,0.224713405,1.098897786,0.008891162,0.265691964,-28.06981539,1.473880651,-0.974219097,-0.283453839,0.02896124,-0.146277715,-0.06201197,-0.077090795,-0.156938863,-0.059883309,-0.168484099,-0.194557719,-0.326121772,0.029743207,0.008358497,0.022000102,0.008388202,0.008303094,0.010677601,0.006093173,0.008614042,0.007471691,0.011388141,0.024511125,0.012019527,0.021335734,female
0.148174729,0.012256011,2.914100917,0.26380695,0.228863082,1.216429629,0.00629374,0.276223776,-26.82087203,1.314656705,-0.546265099,-0.283221105,-0.07720416,-0.107334549,-0.189464561,-0.061446979,-0.069758191,-0.196381069,-0.128509647,-0.304428623,-0.324210978,0.04809896,0.009721385,0.024830981,0.008733482,0.0062777,0.006110246,0.010175758,0.004422563,0.006113123,0.01073852,0.023293176,0.015069375,0.023739685,female
0.135773884,0.012141249,2.881319721,0.264000605,0.23602341,1.190499692,0.006434703,0.271416667,-27.13689994,1.458355909,-0.315755163,-0.473528199,-0.170559119,-0.070712364,-0.125765815,0.05242037,-0.153725935,-0.163676217,-0.120629035,-0.199749342,-0.231093032,0.034084496,0.0067878,0.020570792,0.012657188,0.011075207,0.011118114,0.012818628,0.006185181,0.004994327,0.012565074,0.033482778,0.010482194,0.022017296,female
0.171059413,0.015294856,2.743640173,0.269326646,0.226759711,1.27858676,0.007556727,0.325882353,-28.22669304,1.056794743,-0.992275264,-0.25108634,-0.266330987,0.068159219,-0.200411258,-0.18158211,-0.092189146,-0.208196663,-0.142441507,-0.042532208,-0.035912334,0.016144186,0.004561643,0.013494215,0.011064061,0.025855314,0.012568308,0.007322407,0.002992789,0.004883327,0.01318443,0.03641925,0.007157037,0.022265233,female
0.151863937,0.019713291,3.008992422,0.27252795,0.22932106,1.202661625,0.008088395,0.293482143,-26.42381229,1.42502492,-0.233222398,-0.487440993,-0.155408924,-0.191780857,-0.232794536,0.026075955,-0.06147965,-0.252579404,-0.170127022,-0.265273464,-0.319445431,0.038896628,0.011008015,0.023852605,0.016191926,0.016928972,0.004665047,0.006231246,0.002430374,0.003021623,0.010030622,0.028343008,0.013207541,0.023953063,female
0.176794026,0.01297086,2.618481643,0.26187977,0.225957999,1.104135693,0.008833889,0.283089888,-28.223327,1.483656715,-0.611376302,-0.311398118,-0.375051852,-0.104797408,-0.101692981,0.013769648,-0.138157862,-0.154303006,-0.168374735,-0.139701165,-0.137053652,0.022376994,0.009859713,0.030592742,0.017946181,0.012026502,0.010529517,0.008978464,0.003144363,0.00732368,0.008021906,0.024653955,0.009955014,0.019874172,female
0.242442228,0.018513531,2.825808928,0.336001035,0.243221688,1.203859203,0.006722082,0.354458763,-27.06774667,1.266192048,-0.294161928,-0.671298424,-0.312561407,-0.185798316,-0.109390995,0.064576596,-0.159540344,-0.184964039,-0.172383037,-0.202616491,-0.167910037,0.029614161,0.005656047,0.022680213,0.014536703,0.012470693,0.012858766,0.006071765,0.001541281,0.003543987,0.007340742,0.020099469,0.008977428,0.020578524,female
